WomanID,Year,Age,Region,Origin,Relagion,NumKillers,Killer,Weapon,Known,IsWoman,Status,WhereBody,Background,BodyTime
116,22/10/2013,42,central,IL,jew,1,partner,knife,yes,no,prison,garden,partnerconflict,hours
117,10/09/2013,55,south,IL,jew,1,causin,byhands,unknown,no,prison,home,relatives fight,hours
118,01/09/2013,44,north,ILArab,unknown,1,father,pistol,yes,no,kill him self,office,relatives fight,hours
119,01/09/2013,17,north,ILArab,unknown,1,father,pistol,yes,no,kill him self,street,relatives fight,hours
120,01/09/2013,37,north,ILArab,unknown,1,husband,pistol,yes,no,kill him self,office,relatives fight,hours
121,03/08/2013,45,central,stranger,unknown,1,partner,hammer,unknown,no,prison,home,partnerconflict,hours
122,30/07/2013,29,central,stranger,arith,1,partner,knife,no,no,suspect arrested,home,partnerconflict,hours
123,04/07/2013,34,south,ILArab,unknown,1,brother,pistol,no,no,suspect arrested,home,relatives fight,hours
124,16/06/2013,57,north,ILArab,unknown,1,causin,knife,no,no,prison,home,relatives fight,days
125,07/06/2013,43,south,nigger,arith,1,partner,knife,no,no,prison,home,partnerconflict,hours
126,27/05/2013,57,north,IL,jew,1,son,knife,unknown,no,prison,home,relatives fight ,hours
127,12/05/2013,28,central,IL,jew,1,husband,pistol,no,no,kill him self,home,relatives fight,hours
128,09/05/2013,66,central,russian,unknown,1,husband,byhands,yes,no,prison,home,relatives fight,hours
129,30/04/2013,39,unknown,russian,unknown,2,devorce,knife,no,yes,prison,home,relatives fight,hours
130,28/04/2013,29,north,ILArab,unknown,1,brother,pistol,yes,no,prison,home,relatives fight ,hours
131,26/03/2013,43,central,unknown,unknown,1,husband,pistol,unknown,no,suspect arrested,road,relatives fight ,hours
132,11/03/2013,21,north,ILArab,unknown,1,brother,knife,no,no,suspect arrested,home,relatives fight ,hours
133,09/03/2013,77,south,IL,jew,1,husband,knife,unknown,no,suspect arrested,home,relatives fight ,hours
134,05/03/2013,82,central,IL,jew,1,husband,knife,unknown,no,prison,home,relatives fight ,hours
135,04/03/2013,43,north,russian,unknown,1,partner,knife,no,no,kill him self,home,partnerconflict,hours
136,15/01/2013,43,central,IL,jew,1,husband,byhands,no,no,suspect arrested,home,relatives fight,hours
137,15/01/2013,30,central,stranger,arith,1,husband,byhands,unknown,no,suspect arrested,home,relatives fight,hours
138,30/12/2014,48,south,russian,unknown,1,expartner,knife,yes,no,suspect arrested,home,partnerconflict,hours
139,22/12/2014,41,south,nigger,unknown,1,husband,knife,no,no,kill him self,home,relatives fight,hours
140,02/12/2014,67,south,IL,jew,1,neighbor,unknown,yes,no,suspect arrested,home,unknown,hours
141,25/10/2014,31,central,ILArab,unknown,4,devorce brodevorce causin husband,pistol,yes,no,suspect arrested,home,relatives fight,hours
142,04/09/2014,45,south,IL,jew,1,husband,knife,yes,no,suspect arrested,home,relatives fight ,hours
143,23/08/2014,26,central,ILArab,unknown,1,dautgherofex,unknown,no,yes,suspect arrested,unknown,unknown,months
144,14/08/2014,49,central,IL,jew,1,husband,hammer,yes,no,suspect arrested,home,relatives fight,days
145,24/07/2014,48,north,ILArab,unknown,unknown,unknown,pistol,yes,no,uncaught,home,unknown,hours
146,12/06/2014,14,north,ILArab,unknown,4,bro threefriends,pistol,yes,no,suspect arrested,home,relatives fight ,hours
147,11/06/2014,77,north,ILArab,unknown,1,husband,hammer,no,no,prison,home,relatives fight,hours
148,01/05/2014,30,south,russian,unknown,1,husband,knife,unknown,no,prison,home,relatives fight ,hours
149,14/03/2014,38,central,ILArab,unknown,unknown,unknown,pistol,unknown,unknown,uncaught,street,unknown,hours
150,13/02/2014,54,central,ILArab,unknown,1,son,knife,unknown,no,suspect arrested,unknown,relatives fight,hours
151,31/01/2014,60,south,unknown,unknown,1,husband,hammer,yes,no,suspect arrested,home,relatives fight ,hours
152,17/01/2014,43,central,russian,unknown,1,husband,hammer,no,no,prison,home,relatives fight ,hours
153,20/12/2016,17,north,ILArab,unknown,1,student,knife,no,no,suspect arrested,street,broken heart,hours
154,20/12/2016,31,north,IL,jew,1,partner,byhands,yes,no,prison,street,partnerconflict,hours
155,26/10/2016,37,central,ILArab,unknown,1,brother,knife,no,no,suspect arrested,home,relatives fight ,hours
156,24/10/2016,20,north,ILArab,unknown,1,husband,byhands,yes,no,suspect arrested,home,relatives fight ,hours
157,23/10/2016,44,central,ILArab,unknown,1,husband,byhands,no,no,prison,street,relatives fight,hours
158,23/09/2016,32,central,ILArab,unknown,1,unknown,pistol,yes,no,suspect arrested,street,unknown,hours
159,23/08/2016,35,north,ILArab,unknown,1,partner,byhands,no,no,suspect arrested,home,partnerconflict,hours
160,26/07/2016,47,north,ILArab,unknown,unknown,unknown,pistol,unknown,unknown,uncaught,home,unknown,hours
161,15/05/2016,72,north,IL,unknown,1,son,byhands,yes,no,suspect arrested,home,relatives fight,hours
162,25/05/2016,29,central,russian,unknown,1,partner,pistol,yes,no,uncaught,home,partnerconflict,hours
163,29/04/2016,67,central,unknown,unknown,1,daugther,unknown,no,yes,suspect arrested,home,relatives fight ,hours
164,13/04/2016,75,north,IL,unknown,1,unknown,byhands,no,no,uncaught,home,unknown,hours
165,20/03/2016,53,central,IL,unknown,1,husband,pistol,no,no,kill him self,home,unknown,hours
166,18/02/2016,18,central,IL,unknown,2,Sister Husband,knife,no,yes,suspect arrested,home,relatives fight ,hours
167,03/02/2016,69,central,russian,unknown,1,husband,hammer,no,no,suspect arrested,home,relatives fight ,hours
168,31/01/2016,39,north,ILArab,unknown,unknown,unknown,pistol,no,no,uncaught,home,unknown,hours
169,17/01/2016,50,central,IL,jew,1,devorce,knife,no,no,kill him self,home,relatives fight ,hours
170,13/01/2016,19,north,ILArab,unknown,1,brother,byhands,yes,no,suspect arrested,home,relatives fight,hours
171,27/12/2015,18,north,ILArab,unknown,1,mother,pistol,no,yes,suspect arrested,home,relatives fight,hours
172,09/12/2015,67,central,IL,unknown,1,husband,byhands,yes,no,prison,home,relatives fight ,hours
173,17/11/2015,28,central,ILArab,unknown,1,unknown,pistol,unknown,unknown,uncaught,street,unknown,hours
174,17/11/2015,50,central,ILArab,unknown,1,unknown,pistol,unknown,unknown,uncaught,street,unknown,hours
